        1920          40  1.00000000000000002E-002   1.6000000000000001       0.52000000000000002       2.00000000000000004E-002          80          25  2.00000000000000004E-002   0.0000000000000000                1
  1.00000000000000005E-004   200000.00000000000        7860.0000000000000       -9.8665000000000003        3.0506000000000002        4.3372000000000002        5.0000000000000000       0.50000000000000000       0.50000000000000000       0.39261187660046115     
   312.50000000000000        0.0000000000000000       -1.0000000000000000        500.00000000000000        163.50000000000000     
           1  0.36651914291999999     
  1.59608225119486809E-002  2.84998665216656052E-002 -1.57976744359633603E-005 -1.33207936004603456E-003  2.23433858200939861E-002
  8.78778195381164570E-003 -0.22207253236376456      -9.63294357349264718E-002  6.90188185996841519E-007
  3.64322809865156305E-002  2.36107218730628697E-002  2.92579884590693506E-004 -4.62906759157027947E-004  2.21843846261004334E-002
  8.76688694953918490E-003 -0.98413185431595884       1.84103400746593593E-003  6.82021695780583765E-007
  5.34072441185123731E-002  2.79555229704155708E-002 -5.29245154888557945E-004 -3.10481889174291092E-004  2.21023690870637141E-002
  8.75606989860534639E-003  0.18237015482501409      -4.00925048874012369E-002  6.77824492999350230E-007
  7.21390999237315200E-002  2.65638439805921597E-002  4.93802729262249329E-005  1.97172339115592177E-004  2.56930402042255049E-002
  9.20664596557617225E-003  0.12919918847714570       9.41202668178209301E-003  8.71120780334240371E-007
  9.04128932538375424E-002  2.74457542406642274E-002 -4.98618783761894946E-005  1.77962558006034000E-004  2.47203027554111394E-002
  9.08896028995513985E-003  0.55365146924203090      -7.43905773425979078E-003  8.16849765371568850E-007
  0.10826242216915008       2.75465404544274657E-002  1.03348386376600487E-004  2.86436496049757849E-004  2.21528975905349312E-002
  8.76273727416992249E-003  0.17902598326755889      -2.66046121888408038E-002  6.80409099040092349E-007
  0.12587639492345790       2.53186649074182528E-002  9.07496880420133323E-005 -3.63100250977410610E-004  2.39402861865251684E-002
  8.99234008789062504E-003 -0.21592569344972751       1.80288518836224654E-003  7.74345494800737205E-007
  0.14410730402135388       2.87037334066257456E-002 -3.43031110877634049E-004 -3.58077141427576295E-004  2.41613091924656950E-002
  9.01992857456207324E-003  0.25942562234414418       2.88462259787070074E-002  7.86297059335617766E-007
  0.16124666239822491       2.24256832396228442E-002 -9.69534104389158102E-005  2.71031684456746191E-004  2.59283287622147432E-002
  9.23466444015502881E-003  0.63228691192243169      -2.10912187714740185E-004  8.84457062773419805E-007
  0.18037269892157795       2.88961932417022734E-002  1.62679918147556890E-004  1.22129612655647035E-004  2.36208388329957886E-002
  8.95216441154480028E-003  0.13774959699809075      -8.34941732696936612E-004  7.57201397858900318E-007
  0.20000005767496798       2.07075409868679415E-002  7.96353234744362481E-005 -9.20852221038270802E-005  2.23553596333573371E-002
  8.78935146331787098E-003   1.2880621665394820      -2.54781410968796251E-003  6.90804748820122694E-007
  0.21620453871849710       2.88288082366656116E-002  1.71737166293484123E-004 -1.34274559006331007E-005  2.47791217165952114E-002
  9.09616327285766614E-003  0.35465936927496644      -8.59415223680715101E-003  8.20091658738626401E-007
  0.23433367941776639       2.49738051957637819E-002 -5.12775091832118335E-005  5.66575932871293819E-005  2.24032156828551550E-002
